,Departamento de ocurrencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2022,defunciones,Cuadro11,cuadro11,
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro11,cuadro11,
19.0,,"067 Trastornos de la vesícula biliar, de las vías biliares y del páncreas",44,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,2,2,0,2,5,0,2,3,0,2,4,0,2,2,0,3,1,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"068 Enteritis, colitis no infecciosa y otras enfermedades de los intestinos",32,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,0,2,0,3,4,0,1,1,0,1,2,0,2,2,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,069 Enfermedades del peritoneo y todas las demás enfermedades del sistema digestivo,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,070 Hemorragia gastrointestinal,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,071 Enfermedades de la piel y del tejido subcutáneo,29,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,2,0,3,0,0,4,4,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,072 Enfermedades del sistema osteomuscular y del tejido conjuntivo,54,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,0,0,2,0,3,3,0,1,1,0,2,4,0,1,5,0,3,2,0,3,4,0,2,5,0,2,3,0,0,0,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,073 Enfermedades glomerulares y tubulointersticiales,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,074 Insuficiencia renal,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,3,0,0,1,1,0,6,1,0,6,2,0,5,1,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,075 Todas las demás enfermedades del sistema urinario,41,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,3,0,3,2,0,6,2,0,1,4,0,2,4,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,076 Hiperplasia de la próstata,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,6,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,077 Trastornos de los órganos genitales,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"078 Embarazo, parto y puerperio",10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,080 Feto y recién nacido afectados por complicaciones obstétricas y traumatismo del nacimiento,9,4,5,0,3,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"081 Retardo del crecimiento fetal, desnutrición fetal, gestación corta y bajo peso al nacer",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,082 Trastornos respiratorios específicos del período perinatal,27,17,10,0,2,0,0,2,1,0,6,4,0,4,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,083 Trastornos hemorrágicos y hematológicos del feto y del recién nacido,11,6,5,0,0,0,0,1,1,0,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,084 Infecciones específicas del período perinatal,24,16,8,0,0,0,0,4,1,0,5,2,0,6,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,085 Enterocolitis necrotizante del feto y del recién nacido,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,086 Todas las demás afecciones originadas en el período perinatal,10,4,6,0,1,0,0,0,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,087 Malformaciones congénitas del sistema circulatorio,12,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"088 Las demás malformaciones congénitas, deformidades y anomalías congénitas",23,14,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"089 Signos, síntomas y afecciones mal definidas",343,207,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,2,0,0,1,0,0,8,2,0,4,0,0,2,1,0,3,1,0,6,2,0,2,4,0,3,2,0,3,4,0,4,6,0,12,10,0,7,13,0,14,8,0,28,10,0,31,21,0,41,25,0,23,17,0,6,6,0,3,2,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,090 Accidentes de transporte de motor y secuelas,270,227,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,19,3,0,39,6,0,29,6,0,28,5,0,19,5,0,20,1,0,12,1,0,17,5,0,14,1,0,7,0,0,5,2,0,2,3,0,4,0,0,5,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,091 Otros accidentes de transporte terrestre,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,092 Los demás accidentes de transporte y los no especificados y secuelas,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,093 Caídas,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,095 Ahogamiento y sumersión accidentales,33,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,2,0,0,1,1,0,3,0,0,3,0,0,2,1,0,0,1,0,3,1,0,2,1,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,096 Otros accidentes que obstruyen la respiración,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"097 Exposición a la corriente eléctrica, radiación y temperatura y presión del aire ambientales extremas",5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"098 Exposición al humo, fuego y llamas",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,"099 Envenenamiento accidental por, y exposición a sustancias nocivas",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,100 Lesiones autoinfligidas intencionalmente (suicidios) y secuelas,90,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,7,5,0,7,6,0,13,4,0,3,0,0,10,1,0,6,2,0,5,0,0,2,1,0,1,2,0,1,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,101 Agresiones (homicidios) y secuelas,884,808,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,87,13,0,183,14,0,172,17,0,107,7,0,93,8,0,63,6,0,32,1,0,26,3,0,18,1,0,10,1,0,6,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,102 Eventos de intención no determinada y secuelas,54,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,0,3,0,0,2,1,0,4,1,0,3,0,0,2,1,0,2,0,0,0,2,0,2,1,0,4,0,0,1,1,0,2,1,0,2,0,0,6,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,103 Intervención legal y operaciones de guerra y secuelas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,104 Contratiempos de la atención médico quirúrgica y secuelas,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
19.0,,105 Otros accidentes y secuelas,71,47,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,1,0,2,0,0,4,0,0,4,0,0,2,1,0,2,2,0,3,0,0,2,0,0,4,0,0,4,0,0,2,1,0,2,1,0,2,3,0,3,1,0,1,6,0,1,4,0,1,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,20 Cesar,TOTAL,6185,3655,2524,6,2,2,0,14,18,0,40,26,1,24,24,0,1,0,0,51,41,0,16,16,0,19,15,0,24,21,0,26,20,0,18,14,0,83,37,0,144,41,0,158,37,0,142,45,0,124,60,0,115,68,0,133,85,0,134,112,0,167,143,0,256,164,0,264,176,0,352,214,0,367,240,1,398,300,3,292,298,0,184,202,0,93,88,0,13,16,0,1,1,1,2022,defunciones,Cuadro11,cuadro11,
20.0,,001 Enfermedades infecciosas intestinales,31,15,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,2,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,002 Tuberculosis y secuelas,37,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,1,1,0,1,0,0,2,0,0,2,0,0,4,0,0,2,1,0,6,0,0,4,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,003 Ciertas enfermedades transmitidas por vectores y rabia,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,4,2,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,004 Ciertas enfermedades inmunoprevenibles,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,"005 Septicemia, excepto neonatal",27,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,1,2,0,1,1,0,4,1,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,006 Todas las demás enfermedades bacterianas,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,007 Sífilis y otras enfermedades venéreas,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,008 Hepatitis viral y secuelas,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,009 Enfermedad por el VIH (SIDA),89,56,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,6,4,0,8,5,0,9,5,0,4,4,0,9,2,0,1,6,0,6,1,0,3,1,0,3,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,010 Todas las demás enfermedades infecciosas y parasitarias,246,150,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,3,0,0,4,1,0,2,2,0,3,5,0,2,1,0,7,0,0,2,10,0,14,3,0,11,7,0,18,7,0,17,14,0,24,10,0,19,16,0,11,9,0,7,4,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,012 Tumor maligno del esófago,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,013 Tumor maligno del estómago,56,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,2,0,0,2,1,0,6,2,0,2,4,0,10,4,0,3,1,0,5,3,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",79,37,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,3,2,0,5,2,0,3,2,0,1,6,0,6,8,0,5,4,0,4,5,0,7,3,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,015 Tumor maligno del hígado,41,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,3,0,4,1,0,2,2,0,3,3,0,5,1,0,1,1,0,2,4,0,0,3,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
20.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,17,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,3,0,0,1,0,1,0,0,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
