nombre,href,descripcion,tipo_norma,tematica,subtema,publicacion
Resolucion No 453 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 453 de 2026.pdf,Por medio de la cual se declara la existencia de razones de interés público para someter las patentes de unos Antivirales de Acción Directa - AAD para el tratamiento de la Hepatitis C a licencia obligatoria,Resolución,Salud,,2026-03-16T05:00:00Z
PR Mesa Técnica de Migración y Salud.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/PR Mesa Técnica de Migración y Salud.pdf,"""Por la cual se adopta el Plan de atención del sector salud para la población migrante, refugiada, retornada y comunidades de acogida, y se crea la Mesa técnica de Migración y Salud del Ministerio de Salud y Protección Social"".
 
Fecha y hora de publicación:
Del miércoles 08 de abril de 2026, (8:00 a.m.)

Fecha y hora de finalización de la publicación:
Al miércoles  22 de abril de 2026, (5:00 p.m.)

Correo electrónico para recibir observaciones durante la consulta:	ddelacruz@Minsalud.gov.co | esierra@Minsalud.gov.co | eromo@Minsalud.gov.co | fcolonia@Minsalud.gov.co

Anexos:

https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/2_ANEXO-2026160000165133-MJ.pdf
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/3_ANEXO-2026160000165133-cuestionario.pdf
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/4_ANEXO-2026160000165133.xlsx.zip
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/6_ANEXO-2026160000165133.pdf",Proyecto Resolución,Salud,,2026-04-08T05:00:00Z
PR Modifica 2361 de 2016.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/PR Modifica 2361 de 2016.pdf,"""Por la cual se modifica el artículo 5 de la Resolución 2361 de 2016 y el artículo 14 de la Resolución 737 de 2024 y se dictan otras disposiciones"".

Fecha y hora de publicación:
Miércoles, 8 de abril de 2026 (12:00 PM)

Fecha y hora de finalización de la publicación:
Jueves, 23 de abril de 2026 (4:00 P.M.)

Correo electrónico para recibir observaciones durante la consulta:	
mgonzalezs@minsalud.gov.co

Anexos:
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/MJ-2026112000166723.pdf",Proyecto Resolución,Salud,,2026-04-08T05:00:00Z
PR Comité Nacional de Prácticas de Inmunización.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/PR Comité Nacional de Prácticas de Inmunización.pdf,"""Por la cual se crea el Comité Nacional de Prácticas de Inmunización (CNPI), se derogan las Resoluciones 3990 de 2009 y 2823 de 2011 y, se dictan otras disposiciones

Fecha y hora de publicación:
10  de abril de 2026 (4:00 p.m.)

Fecha y hora de finalización de la publicación:
25 de abril de 2026 (8:00 p.m)

Correo electrónico para recibir observaciones durante la consulta:
csosa@minsalud.gov.co, gvargast@minsalud.gov.co

Anexos:
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/Memoria-Justificativa-20260408112402.pdf

https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/Cuestionario-20260408112402.pdf

https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/304220260410150547935.docx.zip",Proyecto Resolución,Salud,,2026-04-10T05:00:00Z
Concepto Jurídico 2026423000542092.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2026423000542092.pdf,Concepto Jurídico 2026423000542092,Concepto,Salud,,
Concepto Jurídico No 202642400341332.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico No 202642400341332.pdf,Concepto Jurídico No 202642400341332,Concepto,Salud,,
Concepto Jurídico No 2026423000046632 ID 1563882.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico No 2026423000046632 ID 1563882.pdf,Concepto Jurídico No 2026423000046632 ID 1563882,Concepto,Salud,,
Concepto Jurídico No 2026424000867002.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico No 2026424000867002.pdf,Concepto Jurídico No 2026424000867002,Concepto,Salud,,
Resolucion No 592 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 592 de 2026.pdf,"Por la cual se modifica la Resolución 2373 de 2025, que definió la metodología para formular, actualizar y ajustar los Planes Maestros de Inversiones en Infraestructura y Dotación en Salud (PMIDS)

Publicada en el Diario Oficial No. 53.457, con fecha 13 de abril de 2026",Resolución,Salud,,2026-04-10T05:00:00Z
Resolucion No 593 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 593 de 2026.pdf,"Por medio de la cual se modifica el artículo 1o de la Resolución 327 de 2026

Publicada en el Diario Oficial No. 53.457, con fecha 13 de abril de 2026",Resolución,Salud,,2026-04-10T05:00:00Z
Resolucion No 610 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 610 de 2026.pdf,"Por la cual se establecen los parámetros técnicos para la operación de las Salas Amigas de la Familia Lactante del Entorno Laboral y se dictan otras disposiciones

Publicada en el Diario oficial No. 53.459 del 14 de abril de 2026.",Resolución,Salud,,2026-04-13T05:00:00Z
Resolucion No 611 de 2026.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 611 de 2026.pdf,"Por la cual se definen las condiciones de permanencia en el régimen subsidiado de salud de las personas vinculadas laboralmente, pertenecientes a la población en pobreza extrema, pobreza moderada y vulnerabilidad y, se dictan otras disposiciones

Publicada en el Diario oficial No. 53.459 del 14 de abril de 2026.",Resolución,Salud,,2026-04-13T05:00:00Z
PR-1_ANEXO-2026112000180373.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/PR-1_ANEXO-2026112000180373.pdf,"""Por la cual se define la autorización de funcionamiento de Instituciones Prestadoras de Servicios de Salud declaradas Bienes de Interés Cultural y de importancia estratégica para la prestación de servicios de salud, incluyendo el Hospital Universitario San Juan de Dios y Materno Infantil”

Fecha y hora de publicación:
Miércoles, 15 de abril de 2026 (12:00 PM)

Fecha y hora de finalización de la publicación:
jueves, 30 de abril de 2026 (4:00 P.M.)

Correo electrónico para recibir observaciones durante la consulta:	
mgonzalezs@minsalud.gov.co

Anexos:
https://www.minsalud.gov.co/Anexos_Normatividad_Nuevo/MF-2026112000180373.pdf",Proyecto Resolución,Salud,,2026-04-15T05:00:00Z
Resolución No 013 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolución No 013 de 2025.pdf,Por medio de la cual se efectúa un ajuste formal en la Resolución 2235 de 2024,Resolución,Salud,,2025-01-03T05:00:00Z
Decreto No 0010 de 07 de enero de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Decreto No 0010 de 07 de enero de 2025.pdf,Por el cual se adopta la estructura del Hospital Universitario San Juan de Dios y Materno Infantil y se dictan otras disposiciones,Decreto,Salud,,2025-01-07T05:00:00Z
Decreto No 0011 de 07 de enero de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Decreto No 0011 de 07 de enero de 2025.pdf, Por el cual se establece la planta de personal del Hospital Universitario San Juan de Dios y Materno Infantil.,Decreto,Salud,,2025-01-07T05:00:00Z
Resolución No 067 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolución No 067 de 2025.pdf,"Por la cual se establecen las disposiciones unificadas y el contenido metodológico marco que rige el presupuesto máximo para la gestión y financiación de los servicios y tecnologías en salud no financiados con recursos de la (UPC) y no excluidos de la financiación con recursos del Sistema General de Seguridad Social en Salud (SGSSS).

Publicada en el Diario Oficial No. 53.030 del 14 de febrero de 2025",Resolución,Salud,,2025-01-21T05:00:00Z
Resolución No 037 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolución No 037 de 2025.pdf,Por la cual se modifica el artículo 18 de la Resolución 2717 de 2024,Resolución,Salud,,2025-01-14T05:00:00Z
Resolucion No 191 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 191 de 2025.pdf,"Por medio de la cual se publican los resultados de la convocatoria para la seleccion de colegios profesionales del £rea de la salud en quienes se delegarcin funciones publicas, conforme a la Resolucidn 2235 de 2024.",Resolución,Salud,,2025-02-05T05:00:00Z
Resolucion No 226 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 226 de 2025.pdf,Por la cual se adopta el Plan de Acción del Ministerio de Salud y Protección Social para la vigencia 2025 - Unidad Ejecutora 190101,Resolución,Salud,,2025-02-14T05:00:00Z
Resolucion No 050 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 050 de 2025.pdf,"Por la cual se modifica el artículo 10 de la Resolución 1441 de 2016, modificado por las Resoluciones 087 y 1367 de 2024, RIPSS.

Publicada en el Diario Oficial No. 53.035 del 19 de febrero de 2025",Resolución,Salud,,2025-01-16T05:00:00Z
Concepto Jurídico 202442401640942 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202442401640942 de 2024.pdf,Concepto sobre quien es el responsable del pago de prestaciones de servicios en salud con estancias prolongadas.,Concepto,Salud,,
Concepto Jurídico 2024423000861892 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423000861892 de 2024.pdf,Solicitud de concepto frente al abandono social o familiar de pacientes,Concepto,Salud,,
Concepto Jurídico 2024423001080652 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423001080652 de 2024.pdf,Facultades de los Gerentes de ESE según la Resolución 5181 de 2013.,Concepto,Salud,,
Concepto Jurídico 2024423002256352 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423002256352 de 2024.pdf,Facultades y Competencias de los Secretarios de Salud,Concepto,Salud,,
Concepto Jurídico 2024423003002562 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423003002562 de 2024.pdf,Solicitud de concepto respecto de embargos a las Empresas Sociales del Estado - ESE,Concepto,Salud,,
Resolucion No 309 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 309 de 2025.pdf,"Por la cual se imparten lineamientos para garantizar el derecho a la información participación en la toma de decisiones en salud y el ejercicio de la autonomía progresiva y contextual de niños, niñas y adolescentes, a través del asentimiento y el proceso de consentimiento informado.

Publicada en el Diario Oficial No. 53.040 del 24 de febrero de 2025",Resolución,Salud,,2025-02-20T05:00:00Z
Concepto Jurídico 2024424001620002 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024424001620002 de 2024.pdf,Consulta respecto al reconocimiento de incapacidades.,Concepto,Salud,,
Resolución No 370 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolución No 370 de 2025.pdf,"Por la cual se crea la mesa de trabajo en cumplimiento del Auto 007 del 23 de  enero de 2025 con el alcance previsto en el considerando 22 del Auto 089 del 04  de febrero de 2025 proferidos por la Sala Especial de Seguimiento a la Sentencia  T-760 de 2008 de la Corte Constitucional.

Publicada en el Diario Oficial No. 53.044 del 28 de febrero de 2025",Resolución,Salud,,2025-02-28T05:00:00Z
'DECRETO 0229 DEL 27 DE FEBRERO DE 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/'DECRETO 0229 DEL 27 DE FEBRERO DE 2025.pdf,"Por el cual se sustituye la Sección 1 del Capítulo 8 del Título 3 de la Parte 5 del Decreto 780 de 2016, Único Reglamentario del Sector Salud y Protección Social ",Decreto,Salud,,2025-02-27T05:00:00Z
DECRETO No 228 DE 27 DE FEBRERO DE 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/DECRETO No 228 DE 27 DE FEBRERO DE 2025.pdf,"Por el cual se adiciona la Parte 12 al Libro 2 del Decreto 780 de 2016, reglamentar el Sistema Integral de Información Financiera y Asistencial dictan otras disposiciones",Decreto,Salud,,2025-02-27T05:00:00Z
Resolucion No 401 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 401 de 2025.pdf,"Por la cual se adopta la estrategia de acompañamiento psicosocial para población migrante, población colombiana retornada y comunidades de acogida o receptoras, y se determinan los criterios habilitantes y de ponderación para la asignación de recursos para su implementación

Publicada en el Diario Oficial No. 53.055 del 11 de marzo de 2025

",Resolución,Salud,,2025-03-10T05:00:00Z
Concepto Jurídico 202542400265252 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202542400265252 de 2025.pdf,"Concepto acerca del reconocimiento de licencias de maternidad, paternidad e incapacidades en contratos de aprendizaje",Concepto,Salud,,
Concepto Jurídico 2024423002579992 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423002579992 de 2024.pdf,Consulta formulada respecto a la interpretación del artículo 2.5.3.8.4.2.4 del Decreto 780 de 2016 que regula los requisitos para los miembros de las Juntas Directivas de las Empresas Sociales del Estado (ESE).,Concepto,Salud,,
Concepto Jurídico 2024423002621452 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423002621452 de 2024.pdf,Consulta sobre las competencias de inspección y vigilancia de la entidad terri-torial municipal a los mecanismos de participación social en salud en una Em-presa Social del Estado del orden departamental.,Concepto,Salud,,
Concepto Jurídico 2024423002642782 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423002642782 de 2024.pdf,Consulta sobre la obligación de las Comisarías de Familia de autorizar los desplazamientos a otras instituciones de salud de pacientes que se encuentran en estado de abandono.,Concepto,Salud,,
Concepto Jurídico 2024423002981462 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024423002981462 de 2024.pdf,Concepto sobre la renovación de los Comités de Participación Comunitaria (CO-PACO).,Concepto,Salud,,
Concepto Jurídico 2024424001929032 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024424001929032 de 2024.pdf,ASUNTO: Solicitud de concepto frente a una prestación de servicios de depilación láser.,Concepto,Salud,,
Concepto Jurídico 2024424002539842 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2024424002539842 de 2024.pdf,"Consulta jurídica sobre el período de un miembro de la Junta Directiva de una Empresa Social del Estado, que ha sido elegido en reemplazo del anterior que ha renunciado antes de culminar su período.",Concepto,Salud,,
Concepto Jurídico 2025423000006322 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2025423000006322 de 2025.pdf,Consulta sobre la competencia del Ministerio de Salud y Protección Social para emitir prórrogas de intervención a hospitales y designar agentes interventores,Concepto,Salud,,
Concepto Jurídico 2025423000061982 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 2025423000061982 de 2025.pdf,Respuesta a consulta sobre modificaciones y convocatorias en sesiones extraordinarias de la Junta Directiva de una Empresa Social del Estado – ESE del II nivel de atención.,Concepto,Salud,,
Resolucion No 467 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 467 de 2025.pdf,"Por medio de la cual se modifica la Resolución 2388 de 2016, Por la cual se
unifican las reglas para el recaudo de aportes al Sistema de Seguridad Social
Integral y Parafiscales.",Resolución,Salud,,2025-03-25T05:00:00Z
Resolucion No 413 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 413 de 2025.pdf,"Por la cual se adopta el Formulario Único de Afiliación y Reporte de Novedades alSistema General de Riesgos Laborales.

Publicada en el Diario Oficial No. 53.071 del 27 de marzo de 2025",Resolución,Salud,,2025-03-12T05:00:00Z
Resolucion No 435 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 435 de 2025.pdf,"Por medio de la cual se reglamenta el reporte de los hechos vitales - nacimientos y defunciones y se adopta la aplicación tecnológica “Registro Único de los Afiliados - Nacimientos y Defunciones - RUAF ND""

Publicada en el Diario Oficial No. 53.071 del 27 de marzo de 2025",Resolución,Salud,,2025-03-14T05:00:00Z
Resolucion No 465 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 465 de 2025.pdf,"Por la cual se modifican los artículos 4, 5, 7, 19 y 20 de la Resolución 3100 de 2019 modificada por la Resolución 544 de 2023.

Publicada en el Diario Oficial No. 53.071 del 27 de marzo de 2025",Resolución,Salud,,2025-03-25T05:00:00Z
Resolucion No 485 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 485 de 2025.pdf,"Por la cual se establecen los requisitos para la expedición de los conceptos técnicos de viabilidad de los proyectos de inversión cuya fuente de financiaci o cofinanciación sea el Presupuesto General de la Nación.

Publicada en el Diario Oficial No. 53.071 del 27 de marzo de 2025

 ",Resolución,Salud,,2025-03-27T05:00:00Z
Resolucion No 525 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 525 de 2025.pdf,"Por la cual se modifica el numeral 3.8 y 3.8.1 del Anexo Técnico Guia para el
desarrollo y presentación de los estudios de estabilidad de medicamentos de
síntesis química de la Resolución 3157 de 2018 y se dictan otras
disposiciones.

Publicada en el Diario Oficial No. 53.072 del 28 de marzo de 2025

",Resolución,Salud,,2025-03-28T05:00:00Z
Resolucion No 622 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 622 de 2025.pdf,"Por la cual se define el porcentaje de los rendimientos financieros de la cuenta maestra de recaudo de cotizaciones en salud, para las Entidades Promotoras de Salud y Entidades Adaptadas en Salud para la vigencia 2025
Publicada en el Diario Oficial No. 53.084 del  09 de abril de 2025",Resolución,Salud,,2025-04-08T05:00:00Z
Resolucion No 624 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 624 de 2025.pdf,"Por la cual se adopta el Manual para la señalización de los ambientes 100% libres de humo de tabaco y aerosoles emitidos por sus sucedáneos e imitadores
Publicada en el Diario Oficial No. 53.084 del  09 de abril de 2025",Resolución,Salud,,2025-04-08T05:00:00Z
Resolucion No 630 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Resolucion No 630 de 2025.pdf,"Por la cual se reglamenta el artículo 2.8.11.4.1. del Decreto 780 de 2016, en relación con las tarifas señaladas en el artículo 9 de la Ley 1787 de 2016

Publicada en el Diario Oficial No. 53.084 del  09 de abril de 2025",Resolución,Salud,,2025-04-09T05:00:00Z
Concepto Juídico 2024424001286002 de 2024.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Juídico 2024424001286002 de 2024.pdf,"Consulta relacionada con la existencia de algún tipo de responsabilidad fiscal, en el evento de que la ADRES reconozca y pague servicios excluidos del GSSS, sin fallo de tutela, bajo los supuestos fácticos y jurídicos previstos en la Resolución 740 de 2024.",Concepto,Salud,,
Concepto Jurídico 202542400676712 de 2025.pdf,https://www.minsalud.gov.co/Normatividad_Nuevo/Concepto Jurídico 202542400676712 de 2025.pdf,Respuesta a solicitud de Concepto Jurídico sobre Gestión de Recursos del SGSSS y Principio de Inembargabilidad.,Concepto,Salud,,
